No.,月,日,1地域,2地域,3地域,4地域,5地域,6地域,7地域,8地域
1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3,1,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4,1,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
5,1,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
6,1,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
7,1,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
8,1,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
9,1,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,1,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
11,1,11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
12,1,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
13,1,13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
14,1,14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
15,1,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
16,1,16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
17,1,17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
18,1,18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
19,1,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
20,1,20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
21,1,21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
22,1,22,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
23,1,23,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
24,1,24,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
25,1,25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
26,1,26,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
27,1,27,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
28,1,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
29,1,29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
30,1,30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
31,1,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
32,2,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
33,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
34,2,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
35,2,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
36,2,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
37,2,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
38,2,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
39,2,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
40,2,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
41,2,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
42,2,11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
43,2,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
44,2,13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
45,2,14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
46,2,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
47,2,16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
48,2,17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
49,2,18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
50,2,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
51,2,20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
52,2,21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
53,2,22,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
54,2,23,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
55,2,24,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
56,2,25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
57,2,26,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
58,2,27,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
59,2,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
60,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
61,3,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
62,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
63,3,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
64,3,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
65,3,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
66,3,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
67,3,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
68,3,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
69,3,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
70,3,11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
71,3,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
72,3,13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
73,3,14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
74,3,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
75,3,16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
76,3,17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
77,3,18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
78,3,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
79,3,20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
80,3,21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
81,3,22,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
82,3,23,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
83,3,24,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
84,3,25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
85,3,26,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
86,3,27,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
87,3,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
88,3,29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
89,3,30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
90,3,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
91,4,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
92,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
93,4,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
94,4,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
95,4,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
96,4,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
97,4,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
98,4,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
99,4,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
100,4,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
101,4,11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
102,4,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
103,4,13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
104,4,14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
105,4,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
106,4,16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
107,4,17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
108,4,18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
109,4,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
110,4,20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
111,4,21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
112,4,22,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
113,4,23,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
114,4,24,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
115,4,25,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
116,4,26,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
117,4,27,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
118,4,28,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
119,4,29,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
120,4,30,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
121,5,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
122,5,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
123,5,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
124,5,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
125,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
126,5,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
127,5,7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
128,5,8,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
129,5,9,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
130,5,10,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
131,5,11,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
132,5,12,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
133,5,13,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
134,5,14,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
135,5,15,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
136,5,16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
137,5,17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
138,5,18,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
139,5,19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
140,5,20,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
141,5,21,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
142,5,22,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
143,5,23,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
144,5,24,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
145,5,25,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
146,5,26,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
147,5,27,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
148,5,28,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
149,5,29,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
150,5,30,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
151,5,31,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
152,6,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153,6,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
154,6,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
155,6,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
156,6,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
157,6,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
158,6,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
159,6,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
160,6,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
161,6,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
162,6,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
163,6,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
164,6,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
165,6,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
166,6,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
167,6,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
168,6,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
169,6,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
170,6,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
171,6,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
172,6,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
173,6,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
174,6,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
175,6,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
176,6,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
177,6,26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
178,6,27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
179,6,28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
180,6,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
181,6,30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
182,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
183,7,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
184,7,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
185,7,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
186,7,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
187,7,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
